Id,Station_ID,Lag,ACF_Level,ACF_Daily_Change
1,SW88A,1,0.9988492948512233,0.5940779587930207
1,SW88A,2,0.9963780765889352,0.3802871354135413
1,SW88A,3,0.9930632487762818,0.31312669979340885
1,SW88A,4,0.9890531273090397,0.2565834356946945
1,SW88A,5,0.9844727477023111,0.19017412097067188
1,SW88A,6,0.9794678132354515,0.1661103588564004
1,SW88A,7,0.9740896431457153,0.1394345528563078
1,SW88A,8,0.9684014155645809,0.10050179545673968
1,SW88A,9,0.9624914729970664,0.08356593203869486
1,SW88A,10,0.9563978270931593,0.07893654432119869
1,SW88A,11,0.9501304923882459,0.08203834361640187
1,SW88A,12,0.9436832767311631,0.08635532765945816
1,SW88A,13,0.9370463589118566,0.07924301848578462
1,SW88A,14,0.9302365286229564,0.06716783433058685
2,SW88,1,0.9990585118573434,0.7466759553466293
2,SW88,2,0.9967969550915631,0.5178278847538234
2,SW88,3,0.993621763452857,0.3915209516660811
2,SW88,4,0.9897572780747483,0.32487390847438996
2,SW88,5,0.9853209668770295,0.2684378342506327
2,SW88,6,0.9804089974779855,0.21780915650578536
2,SW88,7,0.9751090287433227,0.17235206585108825
2,SW88,8,0.9695021603065678,0.13734081704626122
2,SW88,9,0.9636526469604825,0.12008048199624703
2,SW88,10,0.957592926679846,0.11847359822351385
2,SW88,11,0.9513254753356895,0.11836876658460889
2,SW88,12,0.9448509384944693,0.11287603235825228
2,SW88,13,0.9381782292784328,0.11106699980553951
2,SW88,14,0.9313103160754059,0.11688427000648982
3,SW89,1,0.9991551500912044,0.7493700415933104
3,SW89,2,0.997147060103665,0.5212283650004738
3,SW89,3,0.9943319066434302,0.4023653367905672
3,SW89,4,0.9908940616281193,0.33909188350383135
3,SW89,5,0.9869303638485315,0.2756330680576013
3,SW89,6,0.9825391942184766,0.2197884613179321
3,SW89,7,0.9778060699009506,0.17736955621210684
3,SW89,8,0.9727973451544999,0.14563228741729894
3,SW89,9,0.9675656310333441,0.13786547323714077
3,SW89,10,0.9621196276495547,0.14583037903386772
3,SW89,11,0.9564479230836485,0.14118053591487892
3,SW89,12,0.95056098445957,0.13111955274092404
3,SW89,13,0.9444730647627725,0.1285345059201137
3,SW89,14,0.9381885954118593,0.1308081164582933
4,SW90,1,0.999177328311203,0.7888073274690202
4,SW90,2,0.9971191125058576,0.5830184493085864
4,SW90,3,0.9941469313309379,0.4340239360786093
4,SW90,4,0.9904961742610141,0.32908425622428733
4,SW90,5,0.9863299604855797,0.24741352599480781
4,SW90,6,0.9817768211371495,0.18769048164266292
4,SW90,7,0.976931591546171,0.14532223072125905
4,SW90,8,0.9718578215411198,0.11594669695608788
4,SW90,9,0.9666022420238447,0.11371427902156667
4,SW90,10,0.9611682382730571,0.11761621057404521
4,SW90,11,0.955549890703561,0.10742965512297177
4,SW90,12,0.9497657016976279,0.10993510774379593
4,SW90,13,0.9438096586824214,0.11520710618283257
4,SW90,14,0.937674984930548,0.1273716922607238
5,SW91,1,0.9991427520179602,0.7312148434222774
5,SW91,2,0.9971249481188982,0.5707805830924205
5,SW91,3,0.9942003035060721,0.45341020305257257
5,SW91,4,0.9905570008194131,0.3386822211428538
5,SW91,5,0.9863762351091737,0.23676531121375963
5,SW91,6,0.9818219393143298,0.18331562556908773
5,SW91,7,0.9769778828483309,0.14370101642562091
5,SW91,8,0.9719080779036633,0.1177370320490653
5,SW91,9,0.9666543926062966,0.11144985812854595
5,SW91,10,0.9612246576317829,0.10168074293666733
5,SW91,11,0.9556340368582089,0.1160334585612224
5,SW91,12,0.9498616020580496,0.1293628589019214
5,SW91,13,0.943884790915025,0.13999896093942307
5,SW91,14,0.9376873523732661,0.13754547787018045
6,SW91.1,1,0.999063419414407,0.7587531463817239
6,SW91.1,2,0.9968018814691696,0.5830855237847173
6,SW91.1,3,0.9935234943109661,0.42848877571048827
6,SW91.1,4,0.9894970090057496,0.27433790162826693
6,SW91.1,5,0.9849929773971771,0.19914386079719495
6,SW91.1,6,0.9801433390222231,0.12943462227766409
