transect,Before,During,After,after_minus_before,sen_per_yr,p,metric
RMG12,2921.955865384615,4793.282330827067,2953.877347466839,31.921482082223974,3.1172224765640775,1.0,area_low_m2
RMP2,26460.963714466343,21092.46007266635,18352.612798580565,-8108.350915885778,-673.9242857142854,0.061658178659046714,area_low_m2
RMP3,47142.63047714657,32074.87409748907,23891.2801345519,-23251.350342594673,-1131.2273015873022,0.07945689917354104,area_low_m2
RMP4,30529.400085405043,21977.960952489153,16322.0244206921,-14207.375664712943,-1793.7856667301644,0.02639976320159852,area_low_m2
RMG12,25716.939123831173,26552.28556103721,25680.44547957215,-36.4936442590224,-54.30662033446079,0.9465592891547753,area_flood_m2
RMP2,50130.72027862708,45890.64980685279,44971.57486319067,-5159.145415436411,-629.4973055173468,0.07945689917354104,area_flood_m2
RMP3,73242.9730933127,58389.89394768021,61654.25831505539,-11588.714778257308,60.93626639831054,1.0,area_flood_m2
RMP4,54249.88327344427,51352.784509105426,52213.77577487263,-2036.1074985716405,-478.7272199349967,0.5906396351113613,area_flood_m2
RMG12,5990.0,6064.0,6113.333333333333,123.33333333333303,5.982142857142858,0.3108100139957779,width_flood_m
RMP2,7727.5,7741.428571428572,7913.333333333333,185.83333333333303,16.666666666666668,0.07945689917354104,width_flood_m
RMP3,10162.5,10344.285714285714,10370.0,207.5,15.0,0.13819083155735057,width_flood_m
RMP4,10907.5,11034.285714285714,11083.333333333334,175.83333333333394,22.0,0.1247447549328659,width_flood_m
RMG12,8.734863428925578,8.650439575098725,8.826281486436338,0.09141805751075971,0.003190077156526547,0.9465592891547753,mean_bed_m
RMP2,-0.7438783023458941,-0.18678341047510552,0.05761539774409069,0.8014937000899849,0.08112870728246167,0.07945689917354104,mean_bed_m
RMP3,-1.472960555509327,0.0836575460308341,-0.2091975900887718,1.2637629654205553,0.008321653795469595,0.9144846237132943,mean_bed_m
RMP4,1.7482411855506035,2.0741892195639524,2.013003167650634,0.26476198210003066,0.04474243129025102,0.3879883441211566,mean_bed_m
RMG12,-2.701454358974359,-4.550902857142857,-1.2562013071923557,1.4452530517820035,0.28208854895104907,0.38070480349126185,thalweg_m
RMP2,-12.472312500000001,-11.735623809523807,-15.73031865497076,-3.2580061549707597,-0.2285291666666669,0.3308114209974329,thalweg_m
RMP3,-30.879085519125685,-20.015426530612245,-9.700113804713824,21.17897171441186,1.9942146464646315,3.947712157037554e-05,thalweg_m
RMP4,-16.663511904761904,-11.693740656262504,-12.231099509803924,4.43241239495798,0.47091979166666653,0.02639976320159852,thalweg_m
RMG12,5182.5,4930.0,5043.333333333333,-139.16666666666697,-22.272727272727273,0.3025337411745721,char_width_m
RMP2,3965.0,4181.428571428572,4650.0,685.0,63.0,0.1540113139924963,char_width_m
RMP3,6090.0,6348.571428571428,4573.333333333333,-1516.666666666667,-205.0,0.12678708382391418,char_width_m
RMP4,7542.5,7435.714285714285,7960.0,417.5,38.57142857142857,0.5182528584593317,char_width_m
